aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
212	212	363	653	0	122	256	0	2	634
213	213	61	87	0	12	21	0	0	66
214	214	214	602	0	54	180	0	5	539
215	215	287	561	0	62	175	0	3	219
216	216	79	241	0	18	53	0	0	676
217	217	136	286	0	26	75	0	0	1929
218	218	349	874	0	100	306	0	3	1929
219	219	413	955	0	123	352	0	13	1929
220	220	126	389	0	34	120	0	2	1929
221	221	325	665	0	94	221	0	3	661
222	222	353	730	0	93	255	0	7	1929
223	223	193	344	0	42	106	0	3	666
224	224	161	314	0	34	88	0	2	3255
225	225	55	207	0	10	46	0	1	3255
226	226	389	1040	0	127	418	0	68	1929
227	227	350	749	0	88	254	0	4	672
228	228	326	810	0	82	241	0	6	977
229	229	103	161	0	15	29	0	0	1599
230	230	347	727	0	103	249	0	4	1446
231	231	109	129	0	17	37	0	1	1028
232	232	260	547	0	72	182	0	4	3255
233	233	58	184	0	11	40	0	1	3255
234	234	357	736	0	95	249	0	12	1446
235	235	281	739	0	66	233	0	5	1319
236	236	55	87	0	10	21	0	0	78
237	237	43	54	0	6	10	0	0	78
238	238	58	87	0	11	21	0	2	78
239	239	64	159	0	13	34	0	0	164
240	240	94	183	0	23	45	0	0	110
241	241	49	63	0	8	13	0	0	78
242	242	67	141	0	14	29	0	0	66
243	243	150	288	0	46	94	0	2	110
244	244	104	111	0	15	29	0	0	78
245	245	192	357	0	69	147	0	2	110
246	246	136	396	0	37	131	0	0	303
247	247	163	436	0	49	151	0	0	303
248	248	116	205	0	19	49	0	2	303
249	249	401	696	0	161	337	0	3	505
250	250	158	324	0	48	110	0	3	505
251	251	230	362	0	70	154	0	3	303
252	252	58	108	0	11	28	0	0	505
253	253	136	197	0	40	77	0	2	85
254	254	152	250	0	28	61	0	6	303
255	255	152	231	0	28	64	0	4	505
256	256	89	78	11	10	18	0	0	47
257	257	309	676	0	118	286	0	8	250
258	258	150	375	0	46	146	0	7	250
259	259	55	75	0	10	17	0	0	78
260	260	91	152	0	22	44	0	2	185
261	261	113	191	0	18	37	0	1	303
262	262	61	90	0	12	22	0	2	505
263	263	79	158	0	18	35	0	1	110
264	264	217	334	0	64	139	0	3	505
265	265	119	169	0	20	37	0	2	78
266	266	46	60	0	7	12	0	0	78
267	267	232	462	0	92	187	0	0	164
268	268	320	645	0	91	234	0	4	539
269	269	345	620	0	120	249	0	0	634
270	270	61	84	0	12	20	0	4	66
271	271	217	535	0	49	158	0	8	539
272	272	235	549	0	60	163	0	3	219
273	273	110	201	0	17	45	0	0	1019
274	274	143	204	0	28	51	0	0	1326
275	275	346	542	0	95	160	0	3	1581
276	276	416	631	0	131	203	0	0	1364
277	277	628	855	0	220	316	0	5	628
278	278	446	609	0	174	230	0	1	2122
279	279	412	636	0	131	225	0	4	701
280	280	297	573	0	66	171	0	0	2010
281	281	209	520	0	66	165	0	4	2010
282	282	549	799	0	165	289	0	3	1121
283	283	343	506	0	102	166	0	3	1667
284	284	449	713	0	150	247	0	7	1121
285	285	192	204	0	51	76	0	0	126
286	286	245	487	0	85	181	0	3	314
287	287	194	279	0	73	101	0	0	314
288	288	133	181	0	36	58	0	0	126
289	289	131	209	0	44	57	0	0	126
290	290	614	976	0	258	374	0	0	126
291	291	109	167	0	31	38	0	0	126
292	292	224	339	0	84	100	0	2	126
293	293	46	45	1	7	7	0	0	4
294	294	220	231	0	61	85	0	0	171
295	295	162	188	0	58	66	0	0	171
296	296	67	81	0	14	19	0	0	171
297	297	174	436	0	53	138	0	2	314
298	298	91	184	0	22	39	0	0	171
299	299	118	198	0	31	46	0	0	171
300	300	170	326	0	42	69	0	0	171
301	301	162	215	0	51	63	0	1	171
302	302	122	102	20	21	26	0	0	267
303	303	284	352	0	110	123	0	0	164
304	304	261	330	0	98	115	0	0	267
305	305	177	205	0	58	73	0	2	267
306	306	116	124	0	19	22	0	0	222
307	307	155	185	0	32	44	0	2	267
308	308	115	127	0	37	41	0	0	267
309	309	584	593	0	246	262	0	2	126
310	310	623	623	0	289	301	0	0	267
311	311	236	290	0	60	87	0	0	267
