aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
444	444	115	211	0	30	56	0	0	1288
445	445	436	543	0	151	197	0	1	1288
446	446	172	173	0	38	50	0	0	1281
447	447	597	887	0	245	324	0	5	1111
448	448	485	602	0	175	222	0	1	935
449	449	333	462	0	102	144	0	1	806
450	450	129	264	0	35	61	0	1	1034
451	451	154	229	0	44	60	0	0	935
452	452	286	427	0	77	121	0	1	803
453	453	202	305	0	69	91	0	0	1883
454	454	206	250	0	54	73	0	0	1288
455	455	298	368	0	92	112	0	0	1078
456	456	134	208	0	40	52	0	2	1078
457	457	689	809	0	308	354	0	2	1288
458	458	164	278	0	47	77	0	3	1883
459	459	485	878	0	163	335	0	2	807
460	460	164	214	0	35	55	0	4	2118
461	461	220	295	0	81	103	0	1	1078
462	462	457	649	0	166	247	0	3	807
463	463	626	781	0	280	331	0	0	2118
464	464	253	296	0	60	84	0	4	951
465	465	450	592	0	146	206	0	0	636
466	466	79	170	0	18	38	0	2	935
467	467	275	363	0	64	109	0	2	1111
468	468	202	402	0	48	95	0	2	676
469	469	343	547	0	127	197	0	0	1851
470	470	130	344	0	35	93	0	3	568
471	471	343	460	0	140	170	0	1	1078
472	472	146	202	0	29	49	0	0	1281
473	473	133	244	0	36	54	0	4	1281
474	474	141	160	0	39	46	0	2	1308
475	475	207	398	0	61	112	0	3	674
476	476	291	371	0	89	126	0	5	1283
477	477	100	212	0	25	50	0	0	1213
478	478	223	360	0	66	110	0	1	1851
479	479	91	182	0	22	56	0	2	206
480	480	367	493	0	96	162	0	2	668
481	481	401	503	0	139	170	0	2	1851
482	482	655	832	0	293	334	0	3	1851
483	483	431	521	0	168	199	0	1	1288
484	484	471	571	0	198	224	0	0	1851
485	485	326	467	0	136	182	0	1	1294
486	486	195	391	0	46	118	0	0	1009
487	487	454	780	0	151	261	0	8	230
488	488	283	550	0	80	167	0	2	935
489	489	233	446	0	65	132	0	1	1851
490	490	246	482	0	63	142	0	1	663
491	491	216	290	0	44	77	0	1	1308
492	492	191	264	0	41	65	0	1	1310
493	493	143	209	0	28	49	0	1	1310
494	494	584	625	0	248	284	0	1	1851
495	495	310	504	0	90	155	0	5	795
496	496	185	400	0	56	102	0	1	1851
497	497	159	214	0	34	51	0	1	1078
498	498	118	240	0	31	65	0	0	1308
499	499	172	253	0	39	63	0	0	935
500	500	280	470	0	78	136	0	3	699
501	501	201	388	0	45	104	0	0	642
502	502	98	222	0	25	59	0	0	951
503	503	134	135	0	26	40	0	2	889
504	504	227	339	0	75	101	0	1	1895
505	505	133	219	0	25	55	0	1	1288
506	506	125	280	0	34	62	0	2	935
507	507	267	338	0	76	96	0	2	660
508	508	222	404	0	53	105	0	2	1078
509	509	249	381	0	66	114	0	2	481
510	510	126	215	0	34	50	0	0	1218
511	511	187	287	0	40	68	0	7	2118
512	512	195	312	0	66	89	0	0	951
513	513	260	351	0	73	103	0	1	673
514	514	155	243	0	32	58	0	1	1233
515	515	153	270	0	43	66	0	1	947
516	516	275	371	0	82	123	0	1	2118
517	517	149	233	0	30	63	0	2	2118
518	518	162	237	0	35	60	0	1	1310
519	519	216	448	0	48	116	0	3	243
520	520	303	497	0	79	144	0	1	1235
