row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	100	1587818	315	0	0	1	316	102344296	256345	399.2443620901519	15767	11291	5329	1463	99	2330213	2850176
pretrained-seed-online-k2	101	1102324	428	300	0	1	729	103446620	257074	402.40016493305427	15795	11319	5365	1463	100	2342420	2864519
pretrained-seed-online-k2	102	1257028	744	218	0	1	963	104703648	258037	405.76990121571714	15827	11351	5392	1463	101	2367348	2891631
pretrained-seed-online-k2	103	1104566	755	170	0	1	926	105808214	258963	408.5842919644891	15827	11351	5423	1464	102	2417398	2941681
pretrained-seed-online-k2	104	1305128	991	0	0	1	992	107113342	259955	412.0457079109846	15828	11352	5423	1464	103	2450860	2975148
pretrained-seed-online-k2	105	1334678	985	35	0	1	1021	108448020	260976	415.54786647048	15828	11352	5427	1464	104	2450860	2975148
pretrained-seed-online-k2	106	1482217	934	41	0	1	976	109930237	261952	419.6579411495236	15828	11352	5430	1464	105	2450860	2975148
pretrained-seed-online-k2	107	1067317	469	21	0	1	491	110997554	262443	422.9396630887469	15828	11352	5431	1464	106	2450860	2975148
pretrained-seed-online-k2	108	2148131	1641	552	0	1	2194	113145685	264637	427.5505125889426	15828	11352	5531	1469	107	2450860	2975148
pretrained-seed-online-k2	109	1456734	1441	233	0	1	1675	114602419	266312	430.33141202799726	15828	11352	5566	1477	108	2450860	2975148
pretrained-seed-online-k2	110	1944167	1333	23	0	1	1357	116546586	267669	435.4130885533999	15828	11352	5568	1477	109	2450860	2975148
pretrained-seed-online-k2	111	1275060	573	0	0	1	574	117821646	268243	439.23474610707456	15828	11352	5568	1477	110	2450860	2975148
pretrained-seed-online-k2	112	658225	368	251	0	1	620	118479871	268863	440.67004757069583	15828	11352	5592	1477	111	2450860	2975148
pretrained-seed-online-k2	113	1315464	768	0	0	1	769	119795335	269632	444.2919794386423	15828	11352	5592	1477	112	2450860	2975148
pretrained-seed-online-k2	114	1067085	375	0	0	1	376	120862420	270008	447.6253296198631	15828	11352	5592	1477	113	2450860	2975148
pretrained-seed-online-k2	115	1707493	791	96	0	1	888	122569913	270896	452.4611400685134	15828	11352	5603	1479	114	2450860	2975148
pretrained-seed-online-k2	116	1312724	741	0	0	1	742	123882637	271638	456.0578306422518	15828	11352	5603	1479	115	2450860	2975148
pretrained-seed-online-k2	117	1318821	714	0	0	1	715	125201458	272353	459.7028782499183	15828	11352	5603	1479	116	2450860	2975148
pretrained-seed-online-k2	118	1539510	684	741	0	1	1426	126740968	273779	462.93166386026684	15828	11352	5699	1479	117	2450860	2975148
pretrained-seed-online-k2	119	1737115	3923	90	0	1	4014	128478083	277793	462.49575403267903	15828	11352	5711	1479	118	2450860	2975148
pretrained-seed-online-k2	120	1263854	869	20	0	1	890	129741937	278683	465.55382639055847	15828	11352	5712	1479	119	2450860	2975148
pretrained-seed-online-k2	121	1185229	774	0	0	1	775	130927166	279458	468.50391114228256	15828	11352	5712	1479	120	2450860	2975148
pretrained-seed-online-k2	122	1500925	1539	132	0	1	1672	132428091	281130	471.0564187386618	15828	11352	5718	1479	121	2450860	2975148
pretrained-seed-online-k2	123	1500845	786	0	0	1	787	133928936	281917	475.0651290982807	15828	11352	5718	1479	122	2450860	2975148
pretrained-seed-online-k2	124	1108849	843	0	0	1	844	135037785	282761	477.5686357029435	15828	11352	5718	1479	123	2450860	2975148
pretrained-seed-online-k2	125	3707928	35886	419	0	1	36306	138745713	319067	434.84820742978746	15828	11352	5767	1482	124	2450860	2975148
