tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
405	5523988	1083577793	0	0	34236	5038999	33192	5047225	-5047225	-8226	1	41111851
406	3022897	1086600690	0	0	8588	5047587	8232	5055457	-5055457	-7870	1	41163023
407	3734984	1090335674	0	0	7106	5054693	6806	5062263	-5062263	-7570	1	41198237
408	3721804	1094057478	0	0	11100	5065793	10777	5073040	-5073040	-7247	1	41266282
409	3691293	1097748771	0	0	28876	5094669	26594	5099634	-5099634	-4965	1	41446473
410	2839469	1100588240	0	0	1535	5096204	1566	5101200	-5101200	-4996	1	41456395
411	3721678	1104309918	0	0	18722	5114926	17608	5118808	-5118808	-3882	1	41593448
412	4653322	1108963240	0	0	45228	5160154	40617	5159425	-5159425	729	1	41873307
413	4784123	1113747363	0	0	4665	5164819	5044	5164469	-5164469	350	1	41901612
414	3739293	1117486656	0	0	20161	5184980	19136	5183605	-5183605	1375	1	42016202
415	3395352	1120882008	0	0	4100	5189080	3753	5187358	-5187358	1722	1	42045188
416	3408084	1124290092	0	0	4933	5194013	4932	5192290	-5192290	1723	1	42081127
417	3232492	1127522584	0	0	2397	5196410	2441	5194731	-5194731	1679	1	42097433
418	3615864	1131138448	0	0	2813	5199223	2948	5197679	-5197679	1544	1	42112761
419	3229155	1134367603	0	0	3606	5202829	3646	5201325	-5201325	1504	1	42132074
420	3670980	1138038583	0	0	6666	5209495	6681	5208006	-5208006	1489	1	42172035
421	3226467	1141265050	0	0	500	5209995	512	5208518	-5208518	1477	1	42173891
422	3979766	1145244816	0	0	15607	5225602	14208	5222726	-5222726	2876	1	42275499
423	3659383	1148904199	0	0	2377	5227979	2431	5225157	-5225157	2822	1	42287322
424	4315098	1153219297	0	0	25433	5253412	25002	5250159	-5250159	3253	1	42454405
