tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
231	6211546	1395289200	0	0	1647	6886408	1786	6961111	-6961111	-74703	1	77145797
232	6279849	1401569049	0	0	9887	6896295	9641	6970752	-6970752	-74457	1	77205726
233	6308301	1407877350	0	0	4259	6900554	4316	6975068	-6975068	-74514	1	77228723
234	6423339	1414300689	0	0	28005	6928559	26847	7001915	-7001915	-73356	1	77408188
235	6289339	1420590028	0	0	3754	6932313	3771	7005686	-7005686	-73373	1	77441120
236	6370757	1426960785	0	0	12253	6944566	11726	7017412	-7017412	-72846	1	77528286
237	6419795	1433380580	0	0	27509	6972075	26114	7043526	-7043526	-71451	1	77723099
238	2952807	1436333387	0	0	1543	6973618	1928	7045454	-7045454	-71836	1	77729411
239	6371734	1442705121	0	0	15945	6989563	15260	7060714	-7060714	-71151	1	77831680
240	6236710	1448941831	0	0	4996	6994559	4706	7065420	-7065420	-70861	1	77864687
241	5724973	1454666804	0	0	2600	6997159	2548	7067968	-7067968	-70809	1	77877671
242	6289383	1460956187	0	0	14310	7011469	14511	7082479	-7082479	-71010	1	77953802
243	6315831	1467272018	0	0	16527	7027996	16220	7098699	-7098699	-70703	1	78063901
244	5358455	1472630473	0	0	2086	7030082	2231	7100930	-7100930	-70848	1	78075196
245	6313380	1478943853	0	0	10939	7041021	10215	7111145	-7111145	-70124	1	78134805
246	5684855	1484628708	0	0	1372	7042393	1489	7112634	-7112634	-70241	1	78141384
247	6305975	1490934683	0	0	8774	7051167	8726	7121360	-7121360	-70193	1	78198150
248	5942997	1496877680	0	0	3503	7054670	3600	7124960	-7124960	-70290	1	78218923
249	6347254	1503224934	0	0	18849	7073519	17327	7142287	-7142287	-68768	1	78337181
250	5167965	1508392899	0	0	6502	7080021	6224	7148511	-7148511	-68490	1	78374939
251	1420098	1509812997	0	0	1122	7081143	1184	7149695	-7149695	-68552	1	78379304
252	5495882	1515308879	0	0	3751	7084894	3759	7153454	-7153454	-68560	1	78397403
253	1421506	1516730385	0	0	359	7085253	377	7153831	-7153831	-68578	1	78398404
254	2785370	1519515755	0	0	860	7086113	929	7154760	-7154760	-68647	1	78401970
