logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
187	187	3	3855476	11977	4725093	669956237	14129558	9575	51	2324	27	0	1	61	9505	485	364	1454	1	1	14
188	188	4	5658648	13510	6803160	675614885	14143068	7852	113	5518	27	0	1	128	7714	423	1227	3847	1	1	40
189	189	5	4427369	31192	6875950	680042254	14174260	11491	351	19323	27	0	1	218	11263	421	4649	14232	1	1	143
190	190	6	3511244	7950	3381285	683553498	14182210	5206	89	2628	27	0	1	66	5131	400	451	1756	1	1	27
191	191	7	4067346	11373	5416802	687620844	14193583	10156	40	1150	27	0	1	48	10099	394	152	583	1	1	10
192	192	0	4183656	18142	6418540	691804500	14211725	11059	184	6872	27	0	1	187	10862	391	1527	4933	1	1	77
193	193	1	5805682	27641	7586909	697610182	14239366	7950	287	19377	27	0	1	244	7696	415	3642	15299	1	1	116
194	194	2	4353898	14162	4853163	701964080	14253528	11476	159	2500	27	0	1	118	11349	346	971	1162	1	1	53
195	195	3	4100812	13100	5620511	706064892	14266628	4198	182	8693	27	0	1	94	4095	323	2327	6022	1	1	67
196	196	4	4401194	13736	5705212	710466086	14280364	4105	187	9417	27	0	1	146	3949	310	1637	7449	1	1	73
197	197	5	4461010	93518	9617586	714927096	14373882	11377	663	81451	27	0	1	372	10995	433	12002	68994	1	1	328
198	198	6	4155406	12408	3825874	719082502	14386290	10728	112	1541	27	0	1	60	10659	445	369	706	1	1	35
199	199	7	5241132	15652	6667420	724323634	14401942	13234	136	2255	27	0	1	61	13164	450	705	1079	1	1	45
200	200	0	4936312	13422	6480780	729259946	14415364	3060	181	10154	27	0	1	165	2885	453	2221	7459	1	1	71
201	201	1	3950832	12630	4335624	733210778	14427994	10329	88	2186	27	0	1	64	10256	425	366	1374	1	1	26
202	202	2	2931169	8362	3674145	736141947	14436356	3063	125	5147	27	0	1	163	2890	466	992	3668	1	1	51
203	203	3	1688438	6531	2582966	737830385	14442887	3507	77	2920	27	0	1	41	3457	469	507	1923	1	1	25
