tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
363	2504607	115689	1155690834	56990033	37076	38	93615	183293
364	2284993	105218	1157975827	57095251	33862	26	85504	165581
365	2845114	136843	1160820941	57232094	43021	174	106362	222578
366	2834424	135572	1163655365	57367666	42862	115	106068	218754
367	2510439	117581	1166165804	57485247	37154	104	93764	190278
368	2531834	116773	1168697638	57602020	37475	25	94671	184812
369	2510464	117495	1171208102	57719515	37165	94	93783	188894
370	2504029	116009	1173712131	57835524	37068	27	93577	184916
371	2675262	130630	1176387393	57966154	40514	316	100412	216893
372	2699204	131364	1179086597	58097518	40793	310	101065	216620
373	2187332	102628	1181273929	58200146	32201	134	82653	167065
374	2178460	101103	1183452389	58301249	32040	70	82321	163965
375	2307960	106492	1185760349	58407741	33818	57	87190	170838
376	1818966	86044	1187579315	58493785	25584	36	68928	128944
377	2967783	144922	1190547098	58638707	44656	377	110802	244146
378	2078333	95827	1192625431	58734534	30443	16	78497	150033
379	2172005	100120	1194797436	58834654	31670	84	82418	160092
380	2260788	105311	1197058224	58939965	33219	115	85190	171214
381	2549993	122354	1199608217	59062319	38436	140	96266	196452
382	2518999	118948	1202127216	59181267	38049	111	96135	193493
383	2503830	115524	1204631046	59296791	37067	22	93609	185606
384	2324477	114515	1206955523	59411306	34421	978	86162	230464
385	2311528	106418	1209267051	59517724	34150	54	86356	170149
386	2308752	106443	1211575803	59624167	34110	64	86255	169612
387	2309068	105806	1213884871	59729973	34112	11	86254	166305
388	2330150	108527	1216215021	59838500	34388	102	86872	173533
389	2309854	105623	1218524875	59944123	34123	8	86271	166022
390	2309085	105730	1220833960	60049853	34114	13	86261	166265
391	2373647	110493	1223207607	60160346	34497	226	87337	189780
392	2308647	105680	1225516254	60266026	34108	11	86257	166137
393	2317545	106693	1227833799	60372719	34235	41	86448	168357
394	2312820	105916	1230146619	60478635	34156	15	86347	166517
395	2346883	108472	1232493502	60587107	34637	53	87383	171150
396	2309779	105612	1234803281	60692719	34120	8	86265	165976
397	2309801	105615	1237113082	60798334	34120	8	86265	165992
398	2309698	105621	1239422780	60903955	34119	8	86263	165938
399	2309523	105607	1241732303	61009562	34118	8	86263	165970
400	2310575	105638	1244042878	61115200	34127	8	86270	165961
401	2309581	105641	1246352459	61220841	34117	10	86264	166045
402	2311095	105655	1248663554	61326496	34130	9	86281	166137
403	2309079	105624	1250972633	61432120	34113	9	86263	166016
404	2308467	105582	1253281100	61537702	34107	8	86251	165920
405	2308512	105589	1255589612	61643291	34107	8	86250	165944
406	2312032	105678	1257901644	61748969	34130	10	86300	166264
407	2308799	105585	1260210443	61854554	34108	8	86252	165923
408	2309020	105582	1262519463	61960136	34108	8	86253	165964
409	2319655	106570	1264839118	62066706	34229	32	86508	168053
410	2308396	105577	1267147514	62172283	34106	8	86250	165925
411	2309899	105626	1269457413	62277909	34120	9	86267	166041
412	2310455	105624	1271767868	62383533	34125	8	86270	165983
413	2310685	105679	1274078553	62489212	34125	9	86273	166082
414	2309271	105595	1276387824	62594807	34112	8	86257	165936
415	2308906	105590	1278696730	62700397	34110	8	86255	165970
416	2308284	105586	1281005014	62805983	34104	8	86248	165909
417	2308662	105582	1283313676	62911565	34107	8	86253	165954
418	2267008	104206	1285580684	63015771	33503	41	85131	165027
419	2367771	110978	1287948455	63126749	34845	169	87898	179400
420	2491918	116142	1290440373	63242891	35167	321	94452	198463
421	1798770	86263	1292239143	63329154	25156	127	67582	131038
422	2375793	118279	1294614936	63447433	34123	643	91768	208988
423	3094820	151641	1297709756	63599074	46447	304	148025	281223
424	3655562	190104	1301365318	63789178	57014	832	168035	353635
425	687456	31501	1302052774	63820679	10059	61	26710	47820
426	780730	39178	1302833504	63859857	11055	333	29922	65483
427	1523475	114515	1304356979	63974372	21488	3211	56721	266388
428	932972	63947	1305289951	64038319	13498	1851	35076	149377
429	748048	38972	1306037999	64077291	10828	404	28385	66367
