tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
149	195897	367905603	322	639404	575.39	409592	0	898.22	573568	8034	16132340	22.81	643930	571.34	3854923	922	1341715	274.21	589	30	276
150	1873914	369779517	891	640295	577.51	409592	0	902.80	573568	83120	16215460	22.80	646015	572.40	3896195	7028	1348743	274.17	4134	74	2793
151	1933311	371712828	338	640633	580.23	409592	0	907.52	587714	85955	16301415	22.80	647095	574.43	3909812	1638	1350381	275.27	1264	36	311
152	1933344	373646172	384	641017	582.90	409592	0	912.24	587714	85578	16386993	22.80	648109	576.52	3936210	2848	1353229	276.11	2481	36	304
153	2218070	375864242	513	641530	585.89	409592	0	917.66	587714	94422	16481415	22.81	649827	578.41	3957315	2619	1355848	277.22	2170	46	376
154	2205831	378070073	439	641969	588.92	409592	0	923.04	587714	93763	16575178	22.81	651457	580.35	3975141	2150	1357998	278.40	1812	38	273
155	2195909	380265982	432	642401	591.94	409592	0	928.40	587714	93506	16668684	22.81	652891	582.43	3992417	2182	1360180	279.57	1758	40	357
156	2252785	382518767	253	642654	595.22	409592	0	933.90	587714	95179	16763863	22.82	654763	584.21	4014684	2549	1362729	280.70	2164	24	334
157	4800701	387319468	1954	644608	600.86	409592	0	945.62	587714	189450	16953313	22.85	666023	581.54	4104784	11867	1374596	281.77	9783	50	2007
158	2120165	389439633	3271	647879	601.10	409592	0	950.80	587714	95446	17048759	22.84	672218	579.34	4128224	6536	1381132	281.97	2266	185	4058
159	2117504	391557137	1740	649619	602.75	409592	0	955.97	595900	95807	17144566	22.84	678211	577.34	4173173	6906	1388038	282.09	4483	88	2308
160	1559617	393116754	564	650183	604.62	409592	0	959.78	595900	74837	17219403	22.83	679631	578.43	4191454	2802	1390840	282.65	1809	70	896
161	1539756	394656510	320	650503	606.69	409592	0	963.54	595900	73841	17293244	22.82	681137	579.41	4230472	4075	1394915	282.93	3660	30	358
162	4721934	399378444	236	650739	613.73	409592	0	975.06	595900	185080	17478324	22.85	690892	578.06	4298524	7523	1402438	284.77	7250	20	226
163	1940546	401318990	332	651071	616.40	409592	0	979.80	595900	85634	17563958	22.85	691841	580.07	4339996	4389	1406827	285.27	4074	28	260
164	2237831	403556821	1563	652634	618.35	409592	0	985.27	595900	99138	17663096	22.85	694898	580.74	4385323	9901	1416728	284.85	4320	146	5408
165	2118748	405675569	579	653213	621.05	409592	0	990.44	595900	91626	17754722	22.85	696852	582.15	4416323	5224	1421952	285.29	3154	54	1989
166	1969847	407645416	336	653549	623.74	409592	0	995.25	595900	87380	17842102	22.85	698102	583.93	4441419	3087	1425039	286.06	2442	30	588
167	2376898	410022314	1984	655533	625.48	409592	0	1001.05	605645	105947	17948049	22.84	701774	584.27	4487944	8213	1433252	286.08	4681	88	3417
168	2349068	412371382	717	656250	628.38	409592	0	1006.79	605645	101742	18049791	22.85	704649	585.22	4527989	6312	1439564	286.46	4002	54	2229
169	2234731	414606113	532	656782	631.27	409592	0	1012.24	605645	96371	18146162	22.85	706202	587.09	4565899	6048	1445612	286.80	3734	32	2255
170	2568063	417174176	722	657504	634.48	409592	0	1018.51	605645	105326	18251488	22.86	708778	588.58	4609906	5514	1451126	287.48	4545	66	876
171	4797343	421971519	421	657925	641.37	409592	0	1030.22	605645	187859	18439347	22.88	720068	586.02	4696281	9527	1460653	288.89	9280	34	186
172	4797387	426768906	233	658158	648.43	409592	0	1041.94	605645	187733	18627080	22.91	724262	589.25	4791635	10375	1471028	290.12	10187	24	137
173	2222661	428991567	599	658757	651.21	409592	0	1047.36	605645	95155	18722235	22.91	726466	590.52	4841538	6748	1477776	290.30	4915	70	1736
174	2242010	431233577	365	659122	654.25	409592	0	1052.84	605645	95737	18817972	22.92	727943	592.40	4842734	1362	1479138	291.54	168	30	1137
175	2242372	433475949	533	659655	657.13	409592	0	1058.31	613426	96172	18914144	22.92	728724	594.84	4843515	1768	1480906	292.71	130	42	1569
176	2222617	435698566	254	659909	660.24	409592	0	1063.74	613426	94658	19008802	22.92	729294	597.43	4843744	597	1481503	294.09	49	26	495
177	2284826	437983392	598	660507	663.10	409592	0	1069.32	613426	96685	19105487	22.92	730218	599.80	4844792	1410	1482913	295.35	189	38	1156
178	2232023	440215415	811	661318	665.66	409592	0	1074.77	613426	97414	19202901	22.92	732334	601.11	4890331	7877	1490790	295.29	4644	78	3128
179	2713361	442928776	1140	662458	668.61	409592	0	1081.39	613426	114027	19316928	22.93	737533	600.55	4937189	8733	1499523	295.38	4813	107	3786
