row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-frozen	195	664725	21226	0	0	0	21226	209090502	4157235	50.2955695311908	0	0	0	0	0	0	0
empty-frozen	196	355364	7234	0	0	0	7234	209445866	4164469	50.29353466192208	0	0	0	0	0	0	0
empty-frozen	197	827991	26610	0	0	0	26610	210273857	4191079	50.171771278947496	0	0	0	0	0	0	0
empty-frozen	198	371917	8211	0	0	0	8211	210645774	4199290	50.16223552076661	0	0	0	0	0	0	0
empty-frozen	199	840636	26743	0	0	0	26743	211486410	4226033	50.04371948822927	0	0	0	0	0	0	0
empty-frozen	200	940358	28504	0	0	0	28504	212426768	4254537	49.9294677658227	0	0	0	0	0	0	0
empty-online-k2	1	1111313	37793	0	0	1	37794	1111313	37794	29.40448219294068	0	0	0	0	0	50721	50721
empty-online-k2	2	1104640	32412	0	0	1	32413	2215953	70207	31.563134730155113	0	0	0	0	0	429861	429861
empty-online-k2	3	1111427	1062	0	0	1	1063	3327380	71270	46.68696506243862	64	64	0	0	0	389979	398171
empty-online-k2	4	1123736	2164	0	0	1	2165	4451116	73435	60.61300469803227	146	146	0	0	0	351621	367999
empty-online-k2	5	1119581	2027	0	0	1	2028	5570697	75463	73.82024303300956	272	272	0	0	0	312893	337461
empty-online-k2	6	1109391	704	0	0	1	705	6680088	76168	87.7020270979939	466	466	0	0	0	272028	304782
empty-online-k2	7	1224270	2475	0	0	1	2476	7904358	78644	100.50808707593714	714	714	0	0	0	233317	274255
empty-online-k2	8	1126667	2684	0	0	1	2685	9031025	81329	111.04310885416027	1147	1147	0	0	0	194256	243379
empty-online-k2	9	1369741	6520	0	0	1	6521	10400766	87850	118.39232783153102	1629	1629	0	0	0	163872	221181
empty-online-k2	10	1168350	2316	0	0	1	2317	11569116	90167	128.30765135803566	2529	2529	0	0	0	130626	196127
empty-online-k2	11	214310	1242	188	0	1	1431	11783426	91598	128.64283062948974	2642	2642	42	0	1	143342	209780
