logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
122	122	2	2856621	8738	3303118	437101889	26547233	6808	119	1787	24	0	1	108	6692	773	454	541	1	1	55	6808	1787	6	8601	119	18	137	1
123	123	3	5042192	185183	24330851	442144081	26732416	10606	1221	173332	24	0	1	490	10107	815	28095	144401	1	1	708	10606	173332	6	183944	1221	18	1239	1
124	124	4	4617031	153802	21675988	446761112	26886218	10374	1208	142196	24	0	1	268	10097	834	27616	113725	1	1	695	10374	142196	6	152576	1208	18	1226	1
125	125	5	2072253	3813	3110510	448833365	26890031	1043	81	2665	24	0	1	97	938	800	455	1391	1	1	36	1043	2665	6	3714	81	18	99	1
126	126	6	2568030	32069	6129479	451401395	26922100	6012	276	25757	24	0	1	193	5810	815	4110	20812	1	1	134	6012	25757	6	31775	276	18	294	1
127	127	7	4567300	171827	16758880	455968695	27093927	10128	1773	159902	24	0	1	919	9200	898	31564	127419	1	1	1031	10128	159902	6	170036	1773	18	1791	1
128	128	8	3953449	55426	8023268	459922144	27149353	9110	783	45506	27	0	1	83	9018	897	11457	33131	1	1	432	9110	45506	7	54623	783	20	803	1
129	129	9	1955142	15863	3994723	461877286	27165216	4396	328	11112	27	0	1	179	4207	949	5503	4640	1	1	163	4396	11112	7	15515	328	20	348	1
130	130	10	1647856	11748	2981661	463525142	27176964	3584	96	8041	27	0	1	98	3477	937	788	6296	1	1	43	3584	8041	7	11632	96	20	116	1
131	131	11	2236210	53983	7369351	465761352	27230947	4624	487	48845	27	0	1	473	4141	891	6605	41328	1	1	276	4624	48845	7	53476	487	20	507	1
132	132	12	2592390	85627	8563974	468353742	27316574	6342	1194	78064	27	0	1	310	6022	906	17976	59160	1	1	688	6342	78064	7	84413	1194	20	1214	1
133	133	13	1743095	34676	3755895	470096837	27351250	3670	241	30738	27	0	1	186	3474	1121	3632	25964	1	1	122	3670	30738	7	34415	241	20	261	1
134	134	14	2022895	37132	4380501	472119732	27388382	4591	288	32226	27	0	1	212	4369	1198	4819	26188	1	1	138	4591	32226	7	36824	288	20	308	1
135	135	15	2052673	42436	4956018	474172405	27430818	4876	386	37147	27	0	1	340	4526	1288	6052	29786	1	1	189	4876	37147	7	42030	386	20	406	1
136	136	16	1976770	28751	4106123	476149175	27459569	4464	369	23891	27	0	1	100	4355	1293	6268	16310	1	1	184	4464	23891	7	28362	369	20	389	1
137	137	17	2369083	34813	4362691	478518258	27494382	5585	529	28672	27	0	1	219	5356	1306	6577	20768	1	1	281	5585	28672	7	34264	529	20	549	1
138	138	18	1856721	11539	3175599	480374979	27505921	4151	165	7196	27	0	1	81	4061	1320	1249	4607	1	1	77	4151	7196	7	11354	165	20	185	1
139	139	19	2076342	8896	3064600	482451321	27514817	4660	193	4016	27	0	1	158	4492	1316	1139	1541	1	1	93	4660	4016	7	8683	193	20	213	1
140	140	20	1927715	10044	2940491	484379036	27524861	4534	179	5304	27	0	1	136	4388	1300	865	3119	1	1	85	4534	5304	7	9845	179	20	199	1
141	141	21	1758615	9509	2180126	486137651	27534370	3699	62	5721	27	0	1	41	3649	1291	642	3768	1	1	26	3699	5721	7	9427	62	20	82	1
142	142	22	1962959	15412	2932561	488100610	27549782	4542	179	10664	27	0	1	152	4380	1306	1753	7585	1	1	84	4542	10664	7	15213	179	20	199	1
143	143	23	2301824	35783	4577660	490402434	27585565	5430	361	29965	27	0	1	119	5302	1340	5367	23237	1	1	177	5430	29965	7	35402	361	20	381	1
144	144	24	4466037	109951	14727093	494868471	27695516	5845	767	103312	27	0	1	684	5151	1382	16189	85720	1	1	427	5845	103312	7	109164	767	20	787	1
145	145	25	2786401	34279	5743872	497654872	27729795	6602	501	27149	27	0	1	429	6163	1427	6136	19565	1	1	283	6602	27149	7	33758	501	20	521	1
146	146	26	4042791	94410	10282803	501697663	27824205	8815	875	84693	27	0	1	328	8477	1410	15034	68228	1	1	457	8815	84693	7	93515	875	20	895	1
147	147	27	2341791	9514	3064889	504039454	27833719	5696	184	3607	27	0	1	139	5547	1401	1086	1100	1	1	76	5696	3607	7	9310	184	20	204	1
148	148	28	5338306	298356	32524186	509377760	28132075	12347	3718	282264	27	0	1	1277	11060	1769	57043	223430	1	1	1947	12347	282264	7	294618	3718	20	3738	1
149	149	29	3345805	68227	8535064	512723565	28200302	8084	741	59375	27	0	1	68	8007	1780	13801	43773	1	1	414	8084	59375	7	67466	741	20	761	1
150	150	0	3226990	81688	10057694	515950555	28281990	7911	1184	72566	27	0	1	86	7816	1741	19486	51317	1	1	665	7911	72566	7	80484	1184	20	1204	1
151	151	1	3603368	26258	5605883	519553923	28308248	8227	409	17595	27	0	1	252	7965	1736	4891	10948	1	1	191	8227	17595	7	25829	409	20	429	1
