tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
2785	3	2218488	8271059532	7347071	16434682	383983873	1296611912	NA	0
2786	3	2220559	8273280091	7347087	16434682	384083577	1296958707	NA	0
2787	3	2102781	8275382872	7347103	16434682	384177947	1297287690	NA	0
2788	3	2106812	8277489684	7347119	16434682	384272509	1297617353	NA	0
2789	3	2602358	8280092042	7347135	16434682	384386399	1298016274	NA	0
2790	3	2139448	8282231490	7347151	16434682	384481862	1298347311	NA	0
2791	3	2141410	8284372900	7347167	16434682	384577383	1298678632	NA	0
2792	3	1859228	8286232128	7347183	16434682	384663879	1298965757	NA	0
2793	3	1860650	8288092778	7347199	16434682	384750598	1299253013	NA	0
2794	3	2210351	8290303129	7347215	16434682	384848909	1299594305	NA	0
2795	3	1877166	8292180295	7347231	16434682	384933690	1299883982	NA	0
2796	3	1803169	8293983464	7347247	16434682	385018018	1300161158	NA	0
2797	3	1953803	8295937267	7347263	16434682	385105693	1300463858	NA	0
2798	3	2869737	8298807004	7347279	16434682	385238723	1300926506	NA	0
2799	3	2025900	8300832904	7347295	16892762	385329604	1301241734	NA	1
2800	3	2106108	8302939012	7347311	16892762	385423897	1301570686	NA	0
2801	3	1904706	8304843718	7347327	16892762	385509495	1301864824	NA	0
2802	3	1819437	8306663155	7347343	16892762	385594275	1302145748	NA	0
2803	3	1818399	8308481554	7347359	16892762	385679004	1302426604	NA	0
2804	3	2264333	8310745887	7347375	16892762	385782473	1302785207	NA	0
2805	3	2240963	8312986850	7347391	16892762	385885485	1303142984	NA	0
2806	3	2099526	8315086376	7347407	16892762	385981435	1303473270	NA	0
2807	3	2113177	8317199553	7347423	16892762	386077955	1303805315	NA	0
2808	3	2689218	8319888771	7347439	16892762	386202813	1304240416	NA	0
2809	3	2682132	8322570903	7347455	16892762	386327883	1304675292	NA	0
2810	3	1962396	8324533299	7347471	16892762	386417164	1304981695	NA	0
